modality,feature,bin_idx,time_label,cohens_d,abs_cohens_d,p_value,significant,n_invest,n_keep,significant_bonferroni
pupil,pupil_mean,0,-2.0s to -1.5s,0.14355223964063835,0.14355223964063835,3.6051896202498367e-12,True,6296,3752,True
pupil,pupil_mean,1,-1.5s to -1.0s,0.10907509985302061,0.10907509985302061,1.257729672373609e-07,True,6296,3752,True
pupil,pupil_mean,2,-1.0s to -0.5s,-0.08128042785950325,0.08128042785950325,8.168161973398069e-05,True,6296,3752,True
pupil,pupil_mean,3,-0.5s to 0.0s,-0.10763407950809858,0.10763407950809858,1.8364326433596093e-07,True,6296,3752,True
pupil,pupil_std,0,-2.0s to -1.5s,0.006523399926013578,0.006523399926013578,0.7517820604579153,False,6296,3752,False
pupil,pupil_std,1,-1.5s to -1.0s,0.09947707766021718,0.09947707766021718,1.4325548201416619e-06,True,6296,3752,True
pupil,pupil_std,2,-1.0s to -0.5s,-0.04713424003404101,0.04713424003404101,0.02231066128023245,True,6296,3752,False
pupil,pupil_std,3,-0.5s to 0.0s,-0.03829095681246856,0.03829095681246856,0.0633962211806206,False,6296,3752,False
pupil,pupil_slope,0,-2.0s to -1.5s,-0.015716735634229293,0.015716735634229293,0.4460450770343203,False,6296,3752,False
pupil,pupil_slope,1,-1.5s to -1.0s,-0.11806053360964423,0.11806053360964423,1.067869511417433e-08,True,6296,3752,True
pupil,pupil_slope,2,-1.0s to -0.5s,-0.07022926515484146,0.07022926515484146,0.0006637537732392739,True,6296,3752,False
pupil,pupil_slope,3,-0.5s to 0.0s,0.03670992242878279,0.03670992242878279,0.07511461404332428,False,6296,3752,False
pupil,pupil_velocity_mean,0,-2.0s to -1.5s,0.015013240898484262,0.015013240898484262,0.46666437760347745,False,6296,3752,False
pupil,pupil_velocity_mean,1,-1.5s to -1.0s,0.09359578653907479,0.09359578653907479,5.740495962537753e-06,True,6296,3752,True
pupil,pupil_velocity_mean,2,-1.0s to -0.5s,-0.03942644319525753,0.03942644319525753,0.05594772513708657,False,6296,3752,False
pupil,pupil_velocity_mean,3,-0.5s to 0.0s,-0.055011195528388915,0.055011195528388915,0.007658153400711954,True,6296,3752,False
pupil,pupil_max_constriction_rate,0,-2.0s to -1.5s,0.005461775126370215,0.005461775126370215,0.7911502759186497,False,6296,3752,False
pupil,pupil_max_constriction_rate,1,-1.5s to -1.0s,0.11380077574151212,0.11380077574151212,3.5170715574514724e-08,True,6296,3752,True
pupil,pupil_max_constriction_rate,2,-1.0s to -0.5s,0.033667308684584424,0.033667308684584424,0.1026220193723025,False,6296,3752,False
pupil,pupil_max_constriction_rate,3,-0.5s to 0.0s,-0.06779773213594383,0.06779773213594383,0.001015008992087946,True,6296,3752,False
pupil,pct_time_dilating,0,-2.0s to -1.5s,-0.002546775453581229,0.002546775453581229,0.901725429537178,False,6296,3752,False
pupil,pct_time_dilating,1,-1.5s to -1.0s,-0.12008763819742496,0.12008763819742496,5.969041784016396e-09,True,6296,3752,True
pupil,pct_time_dilating,2,-1.0s to -0.5s,-0.08837663357405429,0.08837663357405429,1.843555489737731e-05,True,6296,3752,True
pupil,pct_time_dilating,3,-0.5s to 0.0s,-0.0011910958830316151,0.0011910958830316151,0.9539469341159714,False,6296,3752,False
pupil,pupil_max,0,-2.0s to -1.5s,0.12589006131798028,0.12589006131798028,1.072612171873284e-09,True,6296,3752,True
pupil,pupil_max,1,-1.5s to -1.0s,0.11699050015450708,0.11699050015450708,1.4462129177961522e-08,True,6296,3752,True
pupil,pupil_max,2,-1.0s to -0.5s,-0.08517867241211115,0.08517867241211115,3.65628042343025e-05,True,6296,3752,True
pupil,pupil_max,3,-0.5s to 0.0s,-0.10849204642189957,0.10849204642189957,1.466716014877988e-07,True,6296,3752,True
pupil,pupil_min,0,-2.0s to -1.5s,0.13169481022703872,0.13169481022703872,1.7843125836989132e-10,True,6296,3752,True
pupil,pupil_min,1,-1.5s to -1.0s,0.05152035067077995,0.05152035067077995,0.012503383990755932,True,6296,3752,False
pupil,pupil_min,2,-1.0s to -0.5s,-0.06085713826700165,0.06085713826700165,0.003177138783523871,True,6296,3752,False
pupil,pupil_min,3,-0.5s to 0.0s,-0.0983573156541417,0.0983573156541417,1.8771261148673061e-06,True,6296,3752,True
eeg_pre,eeg_Fp1,0,-2.0s to -1.5s,-0.06601133981487874,0.06601133981487874,0.020876676140503866,True,3017,2064,False
eeg_pre,eeg_Fp1,1,-1.5s to -1.0s,-0.04745582597825575,0.04745582597825575,0.05352144851950869,False,4239,2717,False
eeg_pre,eeg_Fp1,2,-1.0s to -0.5s,-0.06877770439611312,0.06877770439611312,0.003701359538057127,True,4734,2858,False
eeg_pre,eeg_Fp1,3,-0.5s to 0.0s,-0.07094079058606875,0.07094079058606875,0.002701721361053624,True,4757,2868,False
eeg_pre,eeg_F7,0,-2.0s to -1.5s,-0.04078292049596407,0.04078292049596407,0.15343093442896732,False,3017,2064,False
eeg_pre,eeg_F7,1,-1.5s to -1.0s,-0.07155170876832126,0.07155170876832126,0.003608412706279963,True,4239,2717,False
eeg_pre,eeg_F7,2,-1.0s to -0.5s,-0.10689113860076467,0.10689113860076467,6.505950412367117e-06,True,4734,2858,True
eeg_pre,eeg_F7,3,-0.5s to 0.0s,-0.06969838492403164,0.06969838492403164,0.0032058586393515585,True,4757,2868,False
eeg_pre,eeg_F8,0,-2.0s to -1.5s,-0.042906584888088156,0.042906584888088156,0.1331396974828965,False,3017,2064,False
eeg_pre,eeg_F8,1,-1.5s to -1.0s,-0.027142724721607555,0.027142724721607555,0.2694316484433404,False,4239,2717,False
