accuracy,f1_score
0.4473684210526316,0.39993049387959995
0.8409090909090909,0.8560839160839161
0.4523809523809524,0.50004347448048
0.4883720930232558,0.5092076186467431
0.6136363636363636,0.6102491897348706
0.5909090909090909,0.6441761363636364
0.5365853658536586,0.5791715060007743
0.5813953488372093,0.5813953488372093
0.7560975609756098,0.6983555062823356
0.4318181818181818,0.3440345732366106
0.3170731707317073,0.3073170731707317
0.4883720930232558,0.46032231742146057
0.575,0.4746031746031746
0.43902439024390244,0.32796255235279625
0.5813953488372093,0.5272654370489174
0.5813953488372093,0.5800362428269406
0.5526315789473685,0.5489119624457971
0.2727272727272727,0.3462200956937799
0.7307692307692307,0.7189425561518584
0.5909090909090909,0.661038961038961
0.627906976744186,0.6336950904392765
0.7941176470588235,0.7963057686842854
0.40476190476190477,0.38593608806374763
0.4090909090909091,0.4541493365022777
0.9772727272727273,0.9885057471264368
0.5897435897435898,0.5331335331335332
0.5909090909090909,0.5711598746081505
0.7352941176470589,0.7289678135405105
0.7894736842105263,0.7716108452950557
0.7441860465116279,0.754108527131783
0.7073170731707317,0.6676632572777341
0.5238095238095238,0.527056277056277
0.5833333333333334,0.5862470862470862
0.6666666666666666,0.5333333333333333
0.5476190476190477,0.5432098765432098
0.5789473684210527,0.4842105263157894
0.5757575757575758,0.48717948717948717
0.7954545454545454,0.8457997698504027
0.627906976744186,0.61343669250646
0.7045454545454546,0.6425698633936621
0.625,0.745798319327731
0.4642857142857143,0.36141028246291407
0.4883720930232558,0.5600236864771748
0.5227272727272727,0.6206060606060606
0.325,0.22501645819618168
0.7368421052631579,0.7368421052631579
0.5238095238095238,0.478021978021978
0.5238095238095238,0.46737213403880074
0.5116279069767442,0.6262217728345129
0.5813953488372093,0.5813953488372093
0.4883720930232558,0.3768634466308885
0.6206896551724138,0.584857368886407
0.9318181818181818,0.9273689273689274
0.6046511627906976,0.5951610652253898
0.13157894736842105,0.11292263923842871
0.6363636363636364,0.6502164502164501
0.5238095238095238,0.4429708222811672
0.4878048780487805,0.4599303135888501
0.7045454545454546,0.7214478884959434
0.4864864864864865,0.3822953388170779
0.6904761904761905,0.8169014084507042
0.5116279069767442,0.48756734638205007
0.4634146341463415,0.469191270860077
0.6136363636363636,0.6841897233201581
0.5555555555555556,0.6296296296296297
0.6136363636363636,0.5694255992763456
0.9069767441860465,0.9512195121951219
0.7380952380952381,0.7203611309099548
0.4418604651162791,0.4873197937493423
0.8372093023255814,0.8629401818315485
0.7073170731707317,0.6668989547038328
0.625,0.6200502828409806
0.20930232558139536,0.17062689585439839
0.5135135135135135,0.4242109242109242
0.7674418604651163,0.7898671096345513
0.4318181818181818,0.5164975293555072
0.3333333333333333,0.2936689549961861
0.5609756097560976,0.5547842401500938
0.46511627906976744,0.6201550387596899
0.5116279069767442,0.5269493844049248
0.6428571428571429,0.5723065345541203
0.7674418604651163,0.8343484680693983
0.6153846153846154,0.5706821480406387
0.47058823529411764,0.43715170278637777
0.5,0.6666666666666666
0.5348837209302325,0.5017362938019573
0.5454545454545454,0.5482778091473743
0.7222222222222222,0.7222222222222222
0.5294117647058824,0.6254901960784314
0.5897435897435898,0.5897435897435898
0.5483870967741935,0.4379382889200561
0.90625,0.9508196721311475
0.46153846153846156,0.4419580419580419
0.7073170731707317,0.6575117852018856
0.47619047619047616,0.47619047619047616
0.42857142857142855,0.3558165971959075
0.47368421052631576,0.6428571428571429
